dateTime,source,energy,distance
2022-03-25 20:08:30.022405,3,0,63
2022-03-25 20:08:30.118026,3,0,63
2022-03-25 20:08:30.213568,3,0,63
2022-03-25 20:08:30.293726,3,0,63
2022-03-25 20:08:30.389264,3,0,63
2022-03-25 20:08:30.469322,3,0,63
2022-03-25 20:08:30.549369,3,0,63
2022-03-25 20:08:30.644929,3,0,63
2022-03-25 20:08:30.725042,3,0,63
2022-03-25 20:08:30.820556,3,0,63
2022-03-25 20:08:30.900636,3,0,63
2022-03-25 20:08:30.996268,3,0,63
2022-03-25 20:08:31.076284,3,0,63
2022-03-25 20:08:31.171837,3,0,63
2022-03-25 20:08:31.251878,3,0,63
2022-03-25 20:08:31.347443,3,0,63
2022-03-25 20:08:31.427507,3,0,63
2022-03-25 20:08:31.523085,3,0,63
2022-03-25 20:08:31.618788,3,0,63
2022-03-25 20:08:31.698869,3,0,63
2022-03-25 20:08:31.778935,3,0,63
2022-03-25 20:08:31.874431,3,0,63
2022-03-25 20:08:31.954582,3,0,63
2022-03-25 20:08:32.050059,3,0,63
2022-03-25 20:08:32.130195,3,0,63
2022-03-25 20:08:32.225687,3,0,63
2022-03-25 20:08:32.305805,3,0,63
2022-03-25 20:08:32.401355,3,0,63
2022-03-25 20:08:32.481440,3,0,63
2022-03-25 20:08:32.577081,3,0,63
2022-03-25 20:08:32.657078,3,0,63
2022-03-25 20:08:32.752587,3,0,63
2022-03-25 20:08:32.832687,3,0,63
2022-03-25 20:08:32.928218,3,0,63
2022-03-25 20:08:33.008327,3,0,63
2022-03-25 20:08:33.103859,3,0,63
2022-03-25 20:08:33.183927,3,0,63
2022-03-25 20:08:33.279515,3,0,63
2022-03-25 20:08:33.359570,3,0,63
2022-03-25 20:08:33.455124,3,0,63
2022-03-25 20:08:33.535221,3,0,63
2022-03-25 20:08:33.615233,3,0,63
2022-03-25 20:08:33.710970,3,0,63
2022-03-25 20:08:33.790983,3,0,63
2022-03-25 20:08:33.886472,3,0,63
2022-03-25 20:08:33.982198,3,0,63
2022-03-25 20:08:34.062182,3,0,63
2022-03-25 20:08:34.157743,3,0,63
2022-03-25 20:08:34.237810,3,0,63
2022-03-25 20:08:34.333365,3,0,63
2022-03-25 20:08:34.413427,3,0,63
2022-03-25 20:08:34.509011,3,0,63
2022-03-25 20:08:34.589071,3,0,63
2022-03-25 20:08:34.684667,3,0,63
2022-03-25 20:08:34.764711,3,0,63
2022-03-25 20:08:34.844789,3,0,63
2022-03-25 20:08:34.940326,3,0,63
2022-03-25 20:08:35.020410,3,0,63
2022-03-25 20:08:35.115953,3,0,63
2022-03-25 20:08:35.196035,3,0,63
2022-03-25 20:08:35.291595,3,0,63
2022-03-25 20:08:35.371663,3,0,63
2022-03-25 20:08:35.467181,3,0,63
2022-03-25 20:08:35.547296,3,0,63
2022-03-25 20:08:35.642785,3,0,63
2022-03-25 20:08:35.722979,3,0,63
2022-03-25 20:08:35.818454,3,0,63
2022-03-25 20:08:35.898549,3,0,63
2022-03-25 20:08:35.994079,3,0,63
2022-03-25 20:08:36.074144,3,0,63
2022-03-25 20:08:36.169669,3,0,63
2022-03-25 20:08:36.249767,3,0,63
2022-03-25 20:08:36.345294,3,0,63
2022-03-25 20:08:36.425409,3,0,63
2022-03-25 20:08:36.520953,3,0,63
2022-03-25 20:08:36.600995,3,0,63
2022-03-25 20:08:36.681088,3,0,63
2022-03-25 20:08:36.776676,3,0,63
2022-03-25 20:08:36.856722,3,0,63
2022-03-25 20:08:36.952290,3,0,63
2022-03-25 20:08:37.032319,3,0,63
2022-03-25 20:08:37.127925,3,0,63
2022-03-25 20:08:37.207995,3,0,63
2022-03-25 20:08:37.303536,3,0,63
2022-03-25 20:08:37.383594,3,0,63
2022-03-25 20:08:37.479177,3,0,63
2022-03-25 20:08:37.559224,3,0,63
2022-03-25 20:08:37.654800,3,0,63
2022-03-25 20:08:37.735023,3,0,63
2022-03-25 20:08:37.830562,3,0,63
2022-03-25 20:08:37.910779,3,0,63
2022-03-25 20:08:38.006171,3,0,63
2022-03-25 20:08:38.086322,3,0,63
2022-03-25 20:08:38.181741,3,0,63
2022-03-25 20:08:38.261748,3,0,63
2022-03-25 20:08:38.357315,3,0,63
2022-03-25 20:08:38.437382,3,0,63
2022-03-25 20:08:38.532930,3,0,63
2022-03-25 20:08:38.612989,3,0,63
2022-03-25 20:08:38.693067,3,0,63
2022-03-25 20:08:38.788597,3,0,63
2022-03-25 20:08:38.868686,3,0,63
2022-03-25 20:08:38.964185,3,0,63
2022-03-25 20:08:39.044434,3,0,63
2022-03-25 20:08:39.140014,3,0,63
2022-03-25 20:08:39.235560,3,0,63
2022-03-25 20:08:39.315748,3,0,63
2022-03-25 20:08:39.411203,3,0,63
2022-03-25 20:08:39.507019,3,0,63
2022-03-25 20:08:39.586782,3,0,63
2022-03-25 20:08:39.666853,3,0,63
2022-03-25 20:08:39.747045,3,0,63
2022-03-25 20:08:39.842482,3,0,63
2022-03-25 20:08:39.922462,3,0,63
2022-03-25 20:08:40.018087,3,0,63
2022-03-25 20:08:40.103524,3,0,63
2022-03-25 20:08:40.193724,3,0,63
2022-03-25 20:08:40.273870,3,0,63
2022-03-25 20:08:40.369323,3,0,63
2022-03-25 20:08:40.449392,3,0,63
2022-03-25 20:08:40.544946,3,0,63
2022-03-25 20:08:40.624997,3,0,63
2022-03-25 20:08:40.720614,3,0,63
2022-03-25 20:08:40.800677,3,0,63
2022-03-25 20:08:40.896241,3,0,63
2022-03-25 20:08:40.976299,3,0,63
2022-03-25 20:08:41.071807,3,0,63
2022-03-25 20:08:41.151921,3,0,63
2022-03-25 20:08:41.247471,3,0,63
2022-03-25 20:08:41.327550,3,0,63
2022-03-25 20:08:41.423085,3,0,63
2022-03-25 20:08:41.503140,3,0,63
2022-03-25 20:08:41.598700,3,0,63
2022-03-25 20:08:41.678784,3,0,63
2022-03-25 20:08:41.774409,3,0,63
2022-03-25 20:08:41.854470,3,0,63
2022-03-25 20:08:41.934551,3,0,63
2022-03-25 20:08:42.029998,3,0,63
2022-03-25 20:08:42.110193,3,0,63
2022-03-25 20:08:42.205766,3,0,63
2022-03-25 20:08:42.285825,3,0,63
2022-03-25 20:08:42.381338,3,0,63
2022-03-25 20:08:42.461411,3,0,63
2022-03-25 20:08:42.556937,3,0,63
2022-03-25 20:08:42.637044,3,0,63
