dateTime,lightLevel
2022-03-25 20:32:05.687533,744
2022-03-25 20:32:17.705015,746
2022-03-25 20:32:29.723074,745
2022-03-25 20:32:41.755857,744
2022-03-25 20:32:53.773754,745
2022-03-25 20:33:05.799890,744
2022-03-25 20:33:17.808983,743
2022-03-25 20:33:29.841785,744
2022-03-25 20:33:41.859502,747
2022-03-25 20:33:53.877427,742
2022-03-25 20:34:05.895320,747
2022-03-25 20:34:17.928082,743
2022-03-25 20:34:29.945586,744
2022-03-25 20:34:41.963475,747
2022-03-25 20:34:53.980936,743
2022-03-25 20:35:06.013764,745
2022-03-25 20:35:18.031831,743
2022-03-25 20:35:30.064455,743
2022-03-25 20:35:42.082346,744
2022-03-25 20:35:54.100075,744
2022-03-25 20:36:06.117520,744
2022-03-25 20:36:18.135474,743
2022-03-25 20:36:30.168316,742
2022-03-25 20:36:42.185962,745
2022-03-25 20:36:54.203943,747
2022-03-25 20:37:06.221479,743
2022-03-25 20:37:18.254201,747
2022-03-25 20:37:30.271974,743
2022-03-25 20:37:42.305048,743
2022-03-25 20:37:54.322730,746
2022-03-25 20:38:06.340418,747
2022-03-25 20:38:18.358208,744
2022-03-25 20:38:30.375963,743
2022-03-25 20:38:42.408537,742
2022-03-25 20:38:54.426335,745
2022-03-25 20:39:06.444177,746
2022-03-25 20:39:18.462059,744
2022-03-25 20:39:30.494579,746
2022-03-25 20:39:42.512494,743
2022-03-25 20:39:54.530179,743
2022-03-25 20:40:06.547892,747
2022-03-25 20:40:18.580571,742
2022-03-25 20:40:30.598405,743
2022-03-25 20:40:42.616147,746
2022-03-25 20:40:54.649172,745
2022-03-25 20:41:06.666729,743
2022-03-25 20:41:18.684438,744
2022-03-25 20:41:30.701984,746
2022-03-25 20:41:42.720006,746
2022-03-25 20:41:54.752639,744
2022-03-25 20:42:06.770480,742
2022-03-25 20:42:18.787930,744
2022-03-25 20:42:30.805634,743
2022-03-25 20:42:42.823705,743
2022-03-25 20:42:54.841315,744
2022-03-25 20:43:06.873817,743
2022-03-25 20:43:18.891796,742
2022-03-25 20:43:30.909435,743
2022-03-25 20:43:42.942179,743
2022-03-25 20:43:54.960175,743
2022-03-25 20:44:06.977789,743
2022-03-25 20:44:18.995889,742
2022-03-25 20:44:31.028683,742
2022-03-25 20:44:43.046358,743
